model_family,sample_id,sample_type,answer_text,image_filename,image_path,question_text,clean_exact_answer,strong_case_score,mask_dir,region_A_mask_path,region_B_mask_path,region_A_union_B_mask_path,annotation_status
gemma,okvqa_val_2847255,text_object_binding,china,COCO_val2014_000000284725.jpg,images\COCO_val2014_000000284725.jpg,What country might this be based on the writing on the bus?,1,4642.496875,exported_masks\COCO_val2014_000000284725,exported_masks\COCO_val2014_000000284725\region_A.png,exported_masks\COCO_val2014_000000284725\region_B.png,exported_masks\COCO_val2014_000000284725\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_01162,local_context_inference,tony hawk,COCO_val2014_000000443844.jpg,images\COCO_val2014_000000443844.jpg,Who is famous for this?,1,206.72500000000002,exported_masks\COCO_val2014_000000443844,exported_masks\COCO_val2014_000000443844\region_A.png,exported_masks\COCO_val2014_000000443844\region_B.png,exported_masks\COCO_val2014_000000443844\region_A_union_B.png,needs_region_masks
qwen,okvqa_val_03127,comparison_reasoning,pelican,COCO_val2014_000000223554.jpg,images\COCO_val2014_000000223554.jpg,Which animal shown is closely associated with roof nests and holland?,1,90.39375,exported_masks\COCO_val2014_000000223554,exported_masks\COCO_val2014_000000223554\region_A.png,exported_masks\COCO_val2014_000000223554\region_B.png,exported_masks\COCO_val2014_000000223554\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_4131725,text_object_binding,no left turn,COCO_val2014_000000413172.jpg,images\COCO_val2014_000000413172.jpg,What does the white sign with the arrow mean?,0,6314.01875,exported_masks\COCO_val2014_000000413172,exported_masks\COCO_val2014_000000413172\region_A.png,exported_masks\COCO_val2014_000000413172\region_B.png,exported_masks\COCO_val2014_000000413172\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_00497,local_context_inference,surfer,COCO_val2014_000000296684.jpg,images\COCO_val2014_000000296684.jpg,Who invented this kind of suit?,0,4269.4890625,exported_masks\COCO_val2014_000000296684,exported_masks\COCO_val2014_000000296684\region_A.png,exported_masks\COCO_val2014_000000296684\region_B.png,exported_masks\COCO_val2014_000000296684\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_03909,comparison_reasoning,bat helmet,COCO_val2014_000000303024.jpg,images\COCO_val2014_000000303024.jpg,Which type of helmet is used by the sport person shown in this picture?,0,3010.159375,exported_masks\COCO_val2014_000000303024,exported_masks\COCO_val2014_000000303024\region_A.png,exported_masks\COCO_val2014_000000303024\region_B.png,exported_masks\COCO_val2014_000000303024\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_4999035,text_object_binding,flower,COCO_val2014_000000499903.jpg,images\COCO_val2014_000000499903.jpg,What are the designs in the grass likely made out of?,0,1036.09375,exported_masks\COCO_val2014_000000499903,exported_masks\COCO_val2014_000000499903\region_A.png,exported_masks\COCO_val2014_000000499903\region_B.png,exported_masks\COCO_val2014_000000499903\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_01692,relation_reasoning,leaf,COCO_val2014_000000229753.jpg,images\COCO_val2014_000000229753.jpg,What do these animals eat?,0,515.975,exported_masks\COCO_val2014_000000229753,exported_masks\COCO_val2014_000000229753\region_A.png,exported_masks\COCO_val2014_000000229753\region_B.png,exported_masks\COCO_val2014_000000229753\region_A_union_B.png,needs_region_masks
qwen,okvqa_val_01692,relation_reasoning,leaf,COCO_val2014_000000229753.jpg,images\COCO_val2014_000000229753.jpg,What do these animals eat?,0,214.6875,exported_masks\COCO_val2014_000000229753,exported_masks\COCO_val2014_000000229753\region_A.png,exported_masks\COCO_val2014_000000229753\region_B.png,exported_masks\COCO_val2014_000000229753\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_03189,local_context_inference,balance,COCO_val2014_000000497466.jpg,images\COCO_val2014_000000497466.jpg,What is the purpose of the fin on the pink surfboard?,0,208.525,exported_masks\COCO_val2014_000000497466,exported_masks\COCO_val2014_000000497466\region_A.png,exported_masks\COCO_val2014_000000497466\region_B.png,exported_masks\COCO_val2014_000000497466\region_A_union_B.png,needs_region_masks
qwen,okvqa_val_01162,local_context_inference,tony hawk,COCO_val2014_000000443844.jpg,images\COCO_val2014_000000443844.jpg,Who is famous for this?,0,134.48125,exported_masks\COCO_val2014_000000443844,exported_masks\COCO_val2014_000000443844\region_A.png,exported_masks\COCO_val2014_000000443844\region_B.png,exported_masks\COCO_val2014_000000443844\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_01938,local_context_inference,bmw,COCO_val2014_000000356263.jpg,images\COCO_val2014_000000356263.jpg,Name the bike model shown in this picture?,0,102.325,exported_masks\COCO_val2014_000000356263,exported_masks\COCO_val2014_000000356263\region_A.png,exported_masks\COCO_val2014_000000356263\region_B.png,exported_masks\COCO_val2014_000000356263\region_A_union_B.png,needs_region_masks
gemma,okvqa_val_02363,local_context_inference,horse,COCO_val2014_000000076866.jpg,images\COCO_val2014_000000076866.jpg,These animals are closely related to what american animal?,0,89.97500000000001,exported_masks\COCO_val2014_000000076866,exported_masks\COCO_val2014_000000076866\region_A.png,exported_masks\COCO_val2014_000000076866\region_B.png,exported_masks\COCO_val2014_000000076866\region_A_union_B.png,needs_region_masks
qwen,okvqa_val_00497,local_context_inference,surfer,COCO_val2014_000000296684.jpg,images\COCO_val2014_000000296684.jpg,Who invented this kind of suit?,0,86.571875,exported_masks\COCO_val2014_000000296684,exported_masks\COCO_val2014_000000296684\region_A.png,exported_masks\COCO_val2014_000000296684\region_B.png,exported_masks\COCO_val2014_000000296684\region_A_union_B.png,needs_region_masks
qwen,okvqa_val_4999035,text_object_binding,flower,COCO_val2014_000000499903.jpg,images\COCO_val2014_000000499903.jpg,What are the designs in the grass likely made out of?,0,76.31875000000001,exported_masks\COCO_val2014_000000499903,exported_masks\COCO_val2014_000000499903\region_A.png,exported_masks\COCO_val2014_000000499903\region_B.png,exported_masks\COCO_val2014_000000499903\region_A_union_B.png,needs_region_masks
qwen,okvqa_val_03909,comparison_reasoning,bat helmet,COCO_val2014_000000303024.jpg,images\COCO_val2014_000000303024.jpg,Which type of helmet is used by the sport person shown in this picture?,0,51.5125,exported_masks\COCO_val2014_000000303024,exported_masks\COCO_val2014_000000303024\region_A.png,exported_masks\COCO_val2014_000000303024\region_B.png,exported_masks\COCO_val2014_000000303024\region_A_union_B.png,needs_region_masks
