model,sample_id,sample_type,stage1_label,layer,mask_condition,position_group,target_effect,target_minus_wrong_effect,rank_effect,composition_effect_margin,composition_effect_rank
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,visual_span,14.9375,20.1875,17820.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,answer_adjacent,0.0625,0.5625,318.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,top_hidden_delta,-2.875,2.625,-12135.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,answer_mask,visual+answer,14.9375,20.1875,17854.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,visual_span,14.9375,20.1875,17820.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,answer_adjacent,0.0625,0.5625,318.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,top_hidden_delta,-2.875,2.625,-12135.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,union_mask,visual+answer,14.9375,20.1875,17854.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,visual_span,21.782470703125,25.032470703125,53314.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,answer_adjacent,0.141357421875,1.141357421875,913.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,top_hidden_delta,2.188720703125,16.688720703125,21777.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shifted_mask,visual+answer,22.032470703125,25.032470703125,53336.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,visual_span,16.78125,21.28125,24908.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,answer_adjacent,-0.125,0.375,-194.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,top_hidden_delta,-4.0625,10.1875,-18492.0,-2.25,-6952.0
gemma,okvqa_val_00893,relation_reasoning,one_region_dominated,1,shuffled_mask,visual+answer,17.28125,21.78125,24961.0,-2.25,-6952.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,visual_span,-0.8125,3.1875,-3313.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,answer_adjacent,-0.5625,-0.0625,-378.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,top_hidden_delta,-3.375,3.625,-6782.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,answer_mask,visual+answer,-0.6875,3.0625,-3385.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,visual_span,-0.8125,3.1875,-3313.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,answer_adjacent,-0.5625,-0.0625,-378.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,top_hidden_delta,-3.375,3.625,-6782.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,union_mask,visual+answer,-0.6875,3.0625,-3385.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,visual_span,-6.0,-2.75,-6984.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,answer_adjacent,-0.125,-0.375,-169.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,top_hidden_delta,-4.8125,-0.0625,-2856.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shifted_mask,visual+answer,-5.875,-2.875,-6457.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,visual_span,1.875,4.625,6340.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,answer_adjacent,-0.125,-0.375,-280.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,top_hidden_delta,-1.1875,3.5625,-851.0,-2.5,-3584.0
gemma,okvqa_val_02108,relation_reasoning,one_region_dominated,1,shuffled_mask,visual+answer,1.9375,5.4375,6590.0,-2.5,-3584.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,visual_span,5.125,4.875,7572.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,answer_adjacent,0.125,-0.625,24.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,top_hidden_delta,10.5,12.0,9105.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,answer_mask,visual+answer,4.875,5.125,7521.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,union_mask,visual_span,5.125,4.875,7572.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,union_mask,answer_adjacent,0.125,-0.625,24.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,union_mask,top_hidden_delta,10.5,12.0,9105.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,union_mask,visual+answer,4.875,5.125,7521.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shifted_mask,visual_span,3.75,2.5,2409.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shifted_mask,answer_adjacent,-0.0625,-0.3125,-154.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shifted_mask,top_hidden_delta,1.5625,2.0625,1717.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shifted_mask,visual+answer,3.6875,1.9375,2390.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shuffled_mask,visual_span,-2.0625,-0.3125,-647.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shuffled_mask,answer_adjacent,-0.3125,0.1875,-94.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shuffled_mask,top_hidden_delta,0.6875,1.4375,476.0,3.375,2437.0
gemma,okvqa_val_1295955,text_object_binding,multi_evidence_supported,1,shuffled_mask,visual+answer,-2.125,-0.125,-673.0,3.375,2437.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,answer_mask,visual_span,2.25,0.75,319.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,answer_mask,answer_adjacent,-0.5,-0.5,-190.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,answer_mask,top_hidden_delta,1.375,-0.625,28.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,answer_mask,visual+answer,2.375,0.625,340.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,union_mask,visual_span,2.25,0.75,319.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,union_mask,answer_adjacent,-0.5,-0.5,-190.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,union_mask,top_hidden_delta,1.375,-0.625,28.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,union_mask,visual+answer,2.375,0.625,340.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shifted_mask,visual_span,5.6875,7.4375,2245.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shifted_mask,answer_adjacent,0.125,0.375,107.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shifted_mask,top_hidden_delta,5.6875,5.6875,2181.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shifted_mask,visual+answer,5.4375,6.9375,2198.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shuffled_mask,visual_span,2.25,1.75,639.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shuffled_mask,answer_adjacent,-0.25,-0.5,-82.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shuffled_mask,top_hidden_delta,1.125,-0.125,380.0,-4.0,-286.0
gemma,okvqa_val_258605,comparison_reasoning,one_region_dominated,1,shuffled_mask,visual+answer,1.875,2.375,598.0,-4.0,-286.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,answer_mask,visual_span,3.375,2.6875,315.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,answer_mask,answer_adjacent,-0.1875,0.3125,70.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,answer_mask,top_hidden_delta,2.1875,2.375,295.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,answer_mask,visual+answer,3.75,3.4375,328.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,answer_mask,visual_span,3.8125,3.5625,329.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,answer_mask,answer_adjacent,-0.84375,0.53125,99.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,answer_mask,top_hidden_delta,1.1875,1.625,235.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,answer_mask,visual+answer,3.25,3.875,337.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,answer_mask,visual_span,3.5,3.5,320.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,answer_mask,answer_adjacent,0.0,0.75,179.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,answer_mask,top_hidden_delta,0.125,0.9375,167.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,answer_mask,visual+answer,3.75,4.0625,335.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,union_mask,visual_span,3.375,2.6875,315.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,union_mask,answer_adjacent,-0.1875,0.3125,70.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,union_mask,top_hidden_delta,2.1875,2.375,295.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,union_mask,visual+answer,3.75,3.4375,328.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,union_mask,visual_span,3.8125,3.5625,329.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,union_mask,answer_adjacent,-0.84375,0.53125,99.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,union_mask,top_hidden_delta,1.1875,1.625,235.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,union_mask,visual+answer,3.25,3.875,337.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,union_mask,visual_span,3.5,3.5,320.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,union_mask,answer_adjacent,0.0,0.75,179.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,union_mask,top_hidden_delta,0.125,0.9375,167.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,union_mask,visual+answer,3.75,4.0625,335.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shifted_mask,visual_span,1.75,-0.125,-2.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shifted_mask,answer_adjacent,1.0625,0.1875,6.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shifted_mask,top_hidden_delta,-0.0625,-0.3125,-9.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shifted_mask,visual+answer,1.375,0.25,9.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shifted_mask,visual_span,2.25,0.25,9.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shifted_mask,answer_adjacent,0.875,0.375,3.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shifted_mask,top_hidden_delta,0.5,-0.375,-7.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shifted_mask,visual+answer,2.4375,0.4375,12.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shifted_mask,visual_span,1.875,0.25,8.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shifted_mask,answer_adjacent,0.5,0.1875,6.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shifted_mask,top_hidden_delta,0.0625,-0.375,-7.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shifted_mask,visual+answer,1.4375,0.6875,10.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shuffled_mask,visual_span,1.8125,-0.75,-2.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shuffled_mask,answer_adjacent,0.125,0.4375,4.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shuffled_mask,top_hidden_delta,0.9375,-0.25,-1.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,13,shuffled_mask,visual+answer,1.4375,-0.5,4.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shuffled_mask,visual_span,1.3125,-0.625,-3.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shuffled_mask,answer_adjacent,0.5,0.375,5.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shuffled_mask,top_hidden_delta,0.1875,-0.0625,-5.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,15,shuffled_mask,visual+answer,1.9375,-0.375,4.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shuffled_mask,visual_span,0.875,-0.4375,-2.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shuffled_mask,answer_adjacent,0.75,0.5,8.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shuffled_mask,top_hidden_delta,0.5625,0.0,-3.0,1.8125,147.0
qwen,okvqa_val_00310,relation_reasoning,multi_evidence_supported,17,shuffled_mask,visual+answer,1.4375,-0.25,4.0,1.8125,147.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,answer_mask,visual_span,1.6875,-3.75,99.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,answer_mask,answer_adjacent,0.5625,0.9375,37.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,answer_mask,top_hidden_delta,-1.5625,-7.625,-6.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,answer_mask,visual+answer,2.5,-3.3125,101.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,answer_mask,visual_span,4.6875,-1.75,109.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,answer_mask,answer_adjacent,0.375,1.3125,57.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,answer_mask,top_hidden_delta,0.75,-5.1875,42.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,answer_mask,visual+answer,2.0,-3.6875,102.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,answer_mask,visual_span,4.0625,-2.375,105.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,answer_mask,answer_adjacent,-0.25,1.875,70.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,answer_mask,top_hidden_delta,0.875,-2.4375,51.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,answer_mask,visual+answer,2.4375,-4.125,104.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,union_mask,visual_span,1.6875,-3.75,99.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,union_mask,answer_adjacent,0.5625,0.9375,37.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,union_mask,top_hidden_delta,-1.5625,-7.625,-6.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,union_mask,visual+answer,2.5,-3.3125,101.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,union_mask,visual_span,4.6875,-1.75,109.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,union_mask,answer_adjacent,0.375,1.3125,57.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,union_mask,top_hidden_delta,0.75,-5.1875,42.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,union_mask,visual+answer,2.0,-3.6875,102.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,union_mask,visual_span,4.0625,-2.375,105.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,union_mask,answer_adjacent,-0.25,1.875,70.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,union_mask,top_hidden_delta,0.875,-2.4375,51.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,union_mask,visual+answer,2.4375,-4.125,104.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,shifted_mask,visual_span,1.5,-5.0,170.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,shifted_mask,answer_adjacent,0.8125,0.375,68.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,shifted_mask,top_hidden_delta,-1.0625,-7.4375,-22.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,shifted_mask,visual+answer,2.375,-4.25,174.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,shifted_mask,visual_span,4.125,-2.5,185.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,shifted_mask,answer_adjacent,0.21875,0.65625,62.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,shifted_mask,top_hidden_delta,0.53125,-3.84375,78.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,15,shifted_mask,visual+answer,1.75,-5.125,170.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,shifted_mask,visual_span,3.3125,-2.9375,184.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,shifted_mask,answer_adjacent,-0.375,1.5,107.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,shifted_mask,top_hidden_delta,-0.1875,-4.4375,21.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,17,shifted_mask,visual+answer,2.3125,-4.8125,179.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,shuffled_mask,visual_span,-0.875,-7.8125,-4.0,1.25,41.0
qwen,okvqa_val_00893,relation_reasoning,multi_evidence_supported,13,shuffled_mask,answer_adjacent,-0.75,-0.25,0.0,1.25,41.0
