model,sample_id,layer,mask_condition,position_group,target_effect,wrong_effect,target_minus_wrong_effect,rank_effect,clean_target_rank,mask_target_rank,position_count
gemma,okvqa_val_00893,1,answer_mask,visual_span,14.9375,-5.25,20.1875,17820.0,440.0,18305.0,256.0
gemma,okvqa_val_00893,1,answer_mask,answer_adjacent,0.0625,-0.5,0.5625,318.0,440.0,18305.0,4.0
gemma,okvqa_val_00893,1,answer_mask,top_hidden_delta,-2.875,-5.5,2.625,-12135.0,440.0,18305.0,32.0
gemma,okvqa_val_00893,1,answer_mask,visual+answer,14.9375,-5.25,20.1875,17854.0,440.0,18305.0,260.0
gemma,okvqa_val_00893,1,union_mask,visual_span,14.9375,-5.25,20.1875,17820.0,440.0,18305.0,256.0
gemma,okvqa_val_00893,1,union_mask,answer_adjacent,0.0625,-0.5,0.5625,318.0,440.0,18305.0,4.0
gemma,okvqa_val_00893,1,union_mask,top_hidden_delta,-2.875,-5.5,2.625,-12135.0,440.0,18305.0,32.0
gemma,okvqa_val_00893,1,union_mask,visual+answer,14.9375,-5.25,20.1875,17854.0,440.0,18305.0,260.0
gemma,okvqa_val_00893,1,shifted_mask,visual_span,21.782470703125,-3.25,25.032470703125,53314.0,440.0,53790.0,256.0
gemma,okvqa_val_00893,1,shifted_mask,answer_adjacent,0.141357421875,-1.0,1.141357421875,913.0,440.0,53790.0,4.0
gemma,okvqa_val_00893,1,shifted_mask,top_hidden_delta,2.188720703125,-14.5,16.688720703125,21777.0,440.0,53790.0,32.0
gemma,okvqa_val_00893,1,shifted_mask,visual+answer,22.032470703125,-3.0,25.032470703125,53336.0,440.0,53790.0,260.0
gemma,okvqa_val_00893,1,shuffled_mask,visual_span,16.78125,-4.5,21.28125,24908.0,440.0,25302.0,256.0
gemma,okvqa_val_00893,1,shuffled_mask,answer_adjacent,-0.125,-0.5,0.375,-194.0,440.0,25302.0,4.0
gemma,okvqa_val_00893,1,shuffled_mask,top_hidden_delta,-4.0625,-14.25,10.1875,-18492.0,440.0,25302.0,32.0
gemma,okvqa_val_00893,1,shuffled_mask,visual+answer,17.28125,-4.5,21.78125,24961.0,440.0,25302.0,260.0
gemma,okvqa_val_02108,1,answer_mask,visual_span,-0.8125,-4.0,3.1875,-3313.0,8505.0,2982.0,256.0
gemma,okvqa_val_02108,1,answer_mask,answer_adjacent,-0.5625,-0.5,-0.0625,-378.0,8505.0,2982.0,4.0
gemma,okvqa_val_02108,1,answer_mask,top_hidden_delta,-3.375,-7.0,3.625,-6782.0,8505.0,2982.0,32.0
gemma,okvqa_val_02108,1,answer_mask,visual+answer,-0.6875,-3.75,3.0625,-3385.0,8505.0,2982.0,260.0
gemma,okvqa_val_02108,1,union_mask,visual_span,-0.8125,-4.0,3.1875,-3313.0,8505.0,2982.0,256.0
gemma,okvqa_val_02108,1,union_mask,answer_adjacent,-0.5625,-0.5,-0.0625,-378.0,8505.0,2982.0,4.0
gemma,okvqa_val_02108,1,union_mask,top_hidden_delta,-3.375,-7.0,3.625,-6782.0,8505.0,2982.0,32.0
gemma,okvqa_val_02108,1,union_mask,visual+answer,-0.6875,-3.75,3.0625,-3385.0,8505.0,2982.0,260.0
gemma,okvqa_val_02108,1,shifted_mask,visual_span,-6.0,-3.25,-2.75,-6984.0,8505.0,2403.0,256.0
gemma,okvqa_val_02108,1,shifted_mask,answer_adjacent,-0.125,0.25,-0.375,-169.0,8505.0,2403.0,4.0
gemma,okvqa_val_02108,1,shifted_mask,top_hidden_delta,-4.8125,-4.75,-0.0625,-2856.0,8505.0,2403.0,32.0
gemma,okvqa_val_02108,1,shifted_mask,visual+answer,-5.875,-3.0,-2.875,-6457.0,8505.0,2403.0,260.0
gemma,okvqa_val_02108,1,shuffled_mask,visual_span,1.875,-2.75,4.625,6340.0,8505.0,14102.0,256.0
gemma,okvqa_val_02108,1,shuffled_mask,answer_adjacent,-0.125,0.25,-0.375,-280.0,8505.0,14102.0,4.0
gemma,okvqa_val_02108,1,shuffled_mask,top_hidden_delta,-1.1875,-4.75,3.5625,-851.0,8505.0,14102.0,32.0
gemma,okvqa_val_02108,1,shuffled_mask,visual+answer,1.9375,-3.5,5.4375,6590.0,8505.0,14102.0,260.0
gemma,okvqa_val_1295955,1,answer_mask,visual_span,5.125,0.25,4.875,7572.0,2174.0,9835.0,256.0
gemma,okvqa_val_1295955,1,answer_mask,answer_adjacent,0.125,0.75,-0.625,24.0,2174.0,9835.0,4.0
gemma,okvqa_val_1295955,1,answer_mask,top_hidden_delta,10.5,-1.5,12.0,9105.0,2174.0,9835.0,32.0
gemma,okvqa_val_1295955,1,answer_mask,visual+answer,4.875,-0.25,5.125,7521.0,2174.0,9835.0,260.0
gemma,okvqa_val_1295955,1,union_mask,visual_span,5.125,0.25,4.875,7572.0,2174.0,9835.0,256.0
gemma,okvqa_val_1295955,1,union_mask,answer_adjacent,0.125,0.75,-0.625,24.0,2174.0,9835.0,4.0
gemma,okvqa_val_1295955,1,union_mask,top_hidden_delta,10.5,-1.5,12.0,9105.0,2174.0,9835.0,32.0
gemma,okvqa_val_1295955,1,union_mask,visual+answer,4.875,-0.25,5.125,7521.0,2174.0,9835.0,260.0
gemma,okvqa_val_1295955,1,shifted_mask,visual_span,3.75,1.25,2.5,2409.0,2174.0,4763.0,256.0
gemma,okvqa_val_1295955,1,shifted_mask,answer_adjacent,-0.0625,0.25,-0.3125,-154.0,2174.0,4763.0,4.0
gemma,okvqa_val_1295955,1,shifted_mask,top_hidden_delta,1.5625,-0.5,2.0625,1717.0,2174.0,4763.0,32.0
gemma,okvqa_val_1295955,1,shifted_mask,visual+answer,3.6875,1.75,1.9375,2390.0,2174.0,4763.0,260.0
gemma,okvqa_val_1295955,1,shuffled_mask,visual_span,-2.0625,-1.75,-0.3125,-647.0,2174.0,1897.0,256.0
gemma,okvqa_val_1295955,1,shuffled_mask,answer_adjacent,-0.3125,-0.5,0.1875,-94.0,2174.0,1897.0,4.0
gemma,okvqa_val_1295955,1,shuffled_mask,top_hidden_delta,0.6875,-0.75,1.4375,476.0,2174.0,1897.0,32.0
gemma,okvqa_val_1295955,1,shuffled_mask,visual+answer,-2.125,-2.0,-0.125,-673.0,2174.0,1897.0,260.0
gemma,okvqa_val_258605,1,answer_mask,visual_span,2.25,1.5,0.75,319.0,571.0,932.0,256.0
gemma,okvqa_val_258605,1,answer_mask,answer_adjacent,-0.5,0.0,-0.5,-190.0,571.0,932.0,4.0
gemma,okvqa_val_258605,1,answer_mask,top_hidden_delta,1.375,2.0,-0.625,28.0,571.0,932.0,32.0
gemma,okvqa_val_258605,1,answer_mask,visual+answer,2.375,1.75,0.625,340.0,571.0,932.0,260.0
gemma,okvqa_val_258605,1,union_mask,visual_span,2.25,1.5,0.75,319.0,571.0,932.0,256.0
gemma,okvqa_val_258605,1,union_mask,answer_adjacent,-0.5,0.0,-0.5,-190.0,571.0,932.0,4.0
gemma,okvqa_val_258605,1,union_mask,top_hidden_delta,1.375,2.0,-0.625,28.0,571.0,932.0,32.0
gemma,okvqa_val_258605,1,union_mask,visual+answer,2.375,1.75,0.625,340.0,571.0,932.0,260.0
gemma,okvqa_val_258605,1,shifted_mask,visual_span,5.6875,-1.75,7.4375,2245.0,571.0,2771.0,256.0
gemma,okvqa_val_258605,1,shifted_mask,answer_adjacent,0.125,-0.25,0.375,107.0,571.0,2771.0,4.0
gemma,okvqa_val_258605,1,shifted_mask,top_hidden_delta,5.6875,0.0,5.6875,2181.0,571.0,2771.0,32.0
gemma,okvqa_val_258605,1,shifted_mask,visual+answer,5.4375,-1.5,6.9375,2198.0,571.0,2771.0,260.0
gemma,okvqa_val_258605,1,shuffled_mask,visual_span,2.25,0.5,1.75,639.0,571.0,1207.0,256.0
gemma,okvqa_val_258605,1,shuffled_mask,answer_adjacent,-0.25,0.25,-0.5,-82.0,571.0,1207.0,4.0
gemma,okvqa_val_258605,1,shuffled_mask,top_hidden_delta,1.125,1.25,-0.125,380.0,571.0,1207.0,32.0
gemma,okvqa_val_258605,1,shuffled_mask,visual+answer,1.875,-0.5,2.375,598.0,571.0,1207.0,260.0
qwen,okvqa_val_00310,13,answer_mask,visual_span,3.375,0.6875,2.6875,315.0,18.0,352.0,236.0
qwen,okvqa_val_00310,13,answer_mask,answer_adjacent,-0.1875,-0.5,0.3125,70.0,18.0,352.0,4.0
qwen,okvqa_val_00310,13,answer_mask,top_hidden_delta,2.1875,-0.1875,2.375,295.0,18.0,352.0,32.0
qwen,okvqa_val_00310,13,answer_mask,visual+answer,3.75,0.3125,3.4375,328.0,18.0,352.0,240.0
qwen,okvqa_val_00310,15,answer_mask,visual_span,3.8125,0.25,3.5625,329.0,18.0,352.0,236.0
qwen,okvqa_val_00310,15,answer_mask,answer_adjacent,-0.84375,-1.375,0.53125,99.0,18.0,352.0,4.0
qwen,okvqa_val_00310,15,answer_mask,top_hidden_delta,1.1875,-0.4375,1.625,235.0,18.0,352.0,32.0
qwen,okvqa_val_00310,15,answer_mask,visual+answer,3.25,-0.625,3.875,337.0,18.0,352.0,240.0
qwen,okvqa_val_00310,17,answer_mask,visual_span,3.5,0.0,3.5,320.0,18.0,352.0,236.0
qwen,okvqa_val_00310,17,answer_mask,answer_adjacent,0.0,-0.75,0.75,179.0,18.0,352.0,4.0
qwen,okvqa_val_00310,17,answer_mask,top_hidden_delta,0.125,-0.8125,0.9375,167.0,18.0,352.0,32.0
qwen,okvqa_val_00310,17,answer_mask,visual+answer,3.75,-0.3125,4.0625,335.0,18.0,352.0,240.0
qwen,okvqa_val_00310,13,union_mask,visual_span,3.375,0.6875,2.6875,315.0,18.0,352.0,236.0
qwen,okvqa_val_00310,13,union_mask,answer_adjacent,-0.1875,-0.5,0.3125,70.0,18.0,352.0,4.0
qwen,okvqa_val_00310,13,union_mask,top_hidden_delta,2.1875,-0.1875,2.375,295.0,18.0,352.0,32.0
qwen,okvqa_val_00310,13,union_mask,visual+answer,3.75,0.3125,3.4375,328.0,18.0,352.0,240.0
qwen,okvqa_val_00310,15,union_mask,visual_span,3.8125,0.25,3.5625,329.0,18.0,352.0,236.0
qwen,okvqa_val_00310,15,union_mask,answer_adjacent,-0.84375,-1.375,0.53125,99.0,18.0,352.0,4.0
qwen,okvqa_val_00310,15,union_mask,top_hidden_delta,1.1875,-0.4375,1.625,235.0,18.0,352.0,32.0
qwen,okvqa_val_00310,15,union_mask,visual+answer,3.25,-0.625,3.875,337.0,18.0,352.0,240.0
qwen,okvqa_val_00310,17,union_mask,visual_span,3.5,0.0,3.5,320.0,18.0,352.0,236.0
qwen,okvqa_val_00310,17,union_mask,answer_adjacent,0.0,-0.75,0.75,179.0,18.0,352.0,4.0
qwen,okvqa_val_00310,17,union_mask,top_hidden_delta,0.125,-0.8125,0.9375,167.0,18.0,352.0,32.0
qwen,okvqa_val_00310,17,union_mask,visual+answer,3.75,-0.3125,4.0625,335.0,18.0,352.0,240.0
qwen,okvqa_val_00310,13,shifted_mask,visual_span,1.75,1.875,-0.125,-2.0,18.0,24.0,236.0
qwen,okvqa_val_00310,13,shifted_mask,answer_adjacent,1.0625,0.875,0.1875,6.0,18.0,24.0,4.0
qwen,okvqa_val_00310,13,shifted_mask,top_hidden_delta,-0.0625,0.25,-0.3125,-9.0,18.0,24.0,32.0
qwen,okvqa_val_00310,13,shifted_mask,visual+answer,1.375,1.125,0.25,9.0,18.0,24.0,240.0
qwen,okvqa_val_00310,15,shifted_mask,visual_span,2.25,2.0,0.25,9.0,18.0,24.0,236.0
qwen,okvqa_val_00310,15,shifted_mask,answer_adjacent,0.875,0.5,0.375,3.0,18.0,24.0,4.0
qwen,okvqa_val_00310,15,shifted_mask,top_hidden_delta,0.5,0.875,-0.375,-7.0,18.0,24.0,32.0
qwen,okvqa_val_00310,15,shifted_mask,visual+answer,2.4375,2.0,0.4375,12.0,18.0,24.0,240.0
qwen,okvqa_val_00310,17,shifted_mask,visual_span,1.875,1.625,0.25,8.0,18.0,24.0,236.0
qwen,okvqa_val_00310,17,shifted_mask,answer_adjacent,0.5,0.3125,0.1875,6.0,18.0,24.0,4.0
qwen,okvqa_val_00310,17,shifted_mask,top_hidden_delta,0.0625,0.4375,-0.375,-7.0,18.0,24.0,32.0
qwen,okvqa_val_00310,17,shifted_mask,visual+answer,1.4375,0.75,0.6875,10.0,18.0,24.0,240.0
qwen,okvqa_val_00310,13,shuffled_mask,visual_span,1.8125,2.5625,-0.75,-2.0,18.0,18.0,236.0
qwen,okvqa_val_00310,13,shuffled_mask,answer_adjacent,0.125,-0.3125,0.4375,4.0,18.0,18.0,4.0
qwen,okvqa_val_00310,13,shuffled_mask,top_hidden_delta,0.9375,1.1875,-0.25,-1.0,18.0,18.0,32.0
qwen,okvqa_val_00310,13,shuffled_mask,visual+answer,1.4375,1.9375,-0.5,4.0,18.0,18.0,240.0
qwen,okvqa_val_00310,15,shuffled_mask,visual_span,1.3125,1.9375,-0.625,-3.0,18.0,18.0,236.0
qwen,okvqa_val_00310,15,shuffled_mask,answer_adjacent,0.5,0.125,0.375,5.0,18.0,18.0,4.0
qwen,okvqa_val_00310,15,shuffled_mask,top_hidden_delta,0.1875,0.25,-0.0625,-5.0,18.0,18.0,32.0
qwen,okvqa_val_00310,15,shuffled_mask,visual+answer,1.9375,2.3125,-0.375,4.0,18.0,18.0,240.0
qwen,okvqa_val_00310,17,shuffled_mask,visual_span,0.875,1.3125,-0.4375,-2.0,18.0,18.0,236.0
qwen,okvqa_val_00310,17,shuffled_mask,answer_adjacent,0.75,0.25,0.5,8.0,18.0,18.0,4.0
qwen,okvqa_val_00310,17,shuffled_mask,top_hidden_delta,0.5625,0.5625,0.0,-3.0,18.0,18.0,32.0
qwen,okvqa_val_00310,17,shuffled_mask,visual+answer,1.4375,1.6875,-0.25,4.0,18.0,18.0,240.0
qwen,okvqa_val_00893,13,answer_mask,visual_span,1.6875,5.4375,-3.75,99.0,5.0,126.0,347.0
qwen,okvqa_val_00893,13,answer_mask,answer_adjacent,0.5625,-0.375,0.9375,37.0,5.0,126.0,4.0
qwen,okvqa_val_00893,13,answer_mask,top_hidden_delta,-1.5625,6.0625,-7.625,-6.0,5.0,126.0,32.0
qwen,okvqa_val_00893,13,answer_mask,visual+answer,2.5,5.8125,-3.3125,101.0,5.0,126.0,351.0
qwen,okvqa_val_00893,15,answer_mask,visual_span,4.6875,6.4375,-1.75,109.0,5.0,126.0,347.0
qwen,okvqa_val_00893,15,answer_mask,answer_adjacent,0.375,-0.9375,1.3125,57.0,5.0,126.0,4.0
qwen,okvqa_val_00893,15,answer_mask,top_hidden_delta,0.75,5.9375,-5.1875,42.0,5.0,126.0,32.0
qwen,okvqa_val_00893,15,answer_mask,visual+answer,2.0,5.6875,-3.6875,102.0,5.0,126.0,351.0
qwen,okvqa_val_00893,17,answer_mask,visual_span,4.0625,6.4375,-2.375,105.0,5.0,126.0,347.0
qwen,okvqa_val_00893,17,answer_mask,answer_adjacent,-0.25,-2.125,1.875,70.0,5.0,126.0,4.0
qwen,okvqa_val_00893,17,answer_mask,top_hidden_delta,0.875,3.3125,-2.4375,51.0,5.0,126.0,32.0
qwen,okvqa_val_00893,17,answer_mask,visual+answer,2.4375,6.5625,-4.125,104.0,5.0,126.0,351.0
qwen,okvqa_val_00893,13,union_mask,visual_span,1.6875,5.4375,-3.75,99.0,5.0,126.0,347.0
qwen,okvqa_val_00893,13,union_mask,answer_adjacent,0.5625,-0.375,0.9375,37.0,5.0,126.0,4.0
qwen,okvqa_val_00893,13,union_mask,top_hidden_delta,-1.5625,6.0625,-7.625,-6.0,5.0,126.0,32.0
qwen,okvqa_val_00893,13,union_mask,visual+answer,2.5,5.8125,-3.3125,101.0,5.0,126.0,351.0
qwen,okvqa_val_00893,15,union_mask,visual_span,4.6875,6.4375,-1.75,109.0,5.0,126.0,347.0
qwen,okvqa_val_00893,15,union_mask,answer_adjacent,0.375,-0.9375,1.3125,57.0,5.0,126.0,4.0
qwen,okvqa_val_00893,15,union_mask,top_hidden_delta,0.75,5.9375,-5.1875,42.0,5.0,126.0,32.0
qwen,okvqa_val_00893,15,union_mask,visual+answer,2.0,5.6875,-3.6875,102.0,5.0,126.0,351.0
qwen,okvqa_val_00893,17,union_mask,visual_span,4.0625,6.4375,-2.375,105.0,5.0,126.0,347.0
qwen,okvqa_val_00893,17,union_mask,answer_adjacent,-0.25,-2.125,1.875,70.0,5.0,126.0,4.0
qwen,okvqa_val_00893,17,union_mask,top_hidden_delta,0.875,3.3125,-2.4375,51.0,5.0,126.0,32.0
qwen,okvqa_val_00893,17,union_mask,visual+answer,2.4375,6.5625,-4.125,104.0,5.0,126.0,351.0
qwen,okvqa_val_00893,13,shifted_mask,visual_span,1.5,6.5,-5.0,170.0,5.0,207.0,347.0
qwen,okvqa_val_00893,13,shifted_mask,answer_adjacent,0.8125,0.4375,0.375,68.0,5.0,207.0,4.0
qwen,okvqa_val_00893,13,shifted_mask,top_hidden_delta,-1.0625,6.375,-7.4375,-22.0,5.0,207.0,32.0
qwen,okvqa_val_00893,13,shifted_mask,visual+answer,2.375,6.625,-4.25,174.0,5.0,207.0,351.0
qwen,okvqa_val_00893,15,shifted_mask,visual_span,4.125,6.625,-2.5,185.0,5.0,207.0,347.0
qwen,okvqa_val_00893,15,shifted_mask,answer_adjacent,0.21875,-0.4375,0.65625,62.0,5.0,207.0,4.0
qwen,okvqa_val_00893,15,shifted_mask,top_hidden_delta,0.53125,4.375,-3.84375,78.0,5.0,207.0,32.0
qwen,okvqa_val_00893,15,shifted_mask,visual+answer,1.75,6.875,-5.125,170.0,5.0,207.0,351.0
qwen,okvqa_val_00893,17,shifted_mask,visual_span,3.3125,6.25,-2.9375,184.0,5.0,207.0,347.0
qwen,okvqa_val_00893,17,shifted_mask,answer_adjacent,-0.375,-1.875,1.5,107.0,5.0,207.0,4.0
qwen,okvqa_val_00893,17,shifted_mask,top_hidden_delta,-0.1875,4.25,-4.4375,21.0,5.0,207.0,32.0
qwen,okvqa_val_00893,17,shifted_mask,visual+answer,2.3125,7.125,-4.8125,179.0,5.0,207.0,351.0
